algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found

Random,384927102,17,42,294,11.206571817398071,False
Random,1298374650,7,9,54,3.031682014465332,False
Random,298374651,14,21,102,5.902134656906128,False
Random,1827364512,2,1,10,1.0124945640563965,False
Random,938475612,23,45,225,11.914645195007324,False
Random,564738291,3,2,20,1.5545036792755127,False
Random,2039485761,16,23,149,6.410006284713745,False
Random,1092837465,9,12,75,3.7284960746765137,False
Random,847362915,15,25,88,7.0359649658203125,False
Random,192837465,17,24,141,6.768681287765503,False
Random,374829105,21,60,393,15.812434196472168,False
Random,2837465920,5,4,31,1.692429542541504,False
Random,918273645,2,1,1,1.0977602005004883,False
Random,657483920,12,11,65,3.4226653575897217,False
Random,1203948576,24,41,230,10.950328826904297,False
Random,847362918,24,60,339,15.75413203239441,False
Random,938475610,4,3,21,1.5344352722167969,False
Random,1230984756,11,10,55,3.2053771018981934,False
Random,564738295,15,20,110,5.716667175292969,False
Random,2039485790,2,1,10,0.9684035778045654,False
Random,918273640,31,40,238,10.715507745742798,False
Random,1298374610,4,3,21,1.5263550281524658,False
Random,283746599,5,8,44,2.6894025802612305,False
Random,192837460,9,12,57,3.6688473224639893,False
Random,374829100,26,43,232,11.435229778289795,False
Random,847362900,3,2,11,1.252389907836914,False
Random,1092837400,10,10,64,3.169586658477783,False
Random,657483900,19,34,187,9.223591566085815,False
Random,1203948500,14,20,128,5.711930751800537,False
Random,2039485700,15,23,140,6.4204301834106445,False

BFS,384927102,5563,101,830,25.808587312698364,True
BFS,1298374650,4642,60,456,15.547780513763428,True
BFS,298374651,8233,97,754,24.813175916671753,True
BFS,1827364512,4033,81,675,20.83695387840271,True
BFS,938475612,501,17,89,4.927001476287842,True
BFS,564738291,5875,101,317,25.8051278591156,True
BFS,2039485761,150,9,81,2.765803575515747,True
BFS,1092837465,8805,157,994,39.829962491989136,True
BFS,847362915,1799,43,70,11.296015739440918,True
BFS,192837465,154,10,28,3.0483505725860596,True
BFS,374829105,479,20,29,5.517581939697266,True
BFS,2837465920,2437,43,259,11.295405864715576,True
BFS,918273645,7496,99,522,25.417665719985962,True
BFS,657483920,486,19,163,5.279760122299194,True
BFS,1203948576,1430,37,199,9.788164138793945,True
BFS,847362918,8043,109,505,27.927448987960815,True
BFS,938475610,6185,86,662,22.059483766555786,True
BFS,1230984756,8868,124,664,31.572932243347168,True
BFS,564738295,4596,71,395,18.379642248153687,True
BFS,2039485790,6382,76,652,19.570168495178223,True
BFS,918273640,1336,28,208,7.543532133102417,True
BFS,1298374610,412,17,152,4.765448808670044,True
BFS,283746599,1415,31,211,8.281735181808472,True
BFS,192837460,6677,81,306,20.872350931167603,True
BFS,374829100,5963,97,295,24.814927101135254,True
BFS,847362900,7899,113,527,28.81500816345215,True
BFS,1092837400,4234,69,528,17.897846221923828,True
BFS,657483900,5998,62,134,16.053046703338623,True
BFS,1203948500,5835,84,615,21.56104063987732,True
BFS,2039485700,1016,24,96,6.53048849105835,True

